time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,asset_pair
2022-07-12,2022-07-13T00:00:00.0000000Z,2022-07-12T00:00:00.0000000Z,2022-07-12T23:59:59.9990000Z,19963.61,20059.42,19240.0,19328.75,139506.45862,3626399,BINANCE_SPOT_BTC_USDT
2022-07-13,2022-07-14T00:00:00.0000000Z,2022-07-13T00:00:00.0010000Z,2022-07-13T23:59:59.9990000Z,19331.28,20366.61,18910.94,20234.87,209236.53530999998,4788493,BINANCE_SPOT_BTC_USDT
2022-07-14,2022-07-15T00:00:00.0000000Z,2022-07-14T00:00:00.0000000Z,2022-07-14T23:59:59.9970000Z,20234.87,20900.0,19616.07,20588.84,174809.21696,4576355,BINANCE_SPOT_BTC_USDT
2022-07-15,2022-07-16T00:00:00.0000000Z,2022-07-15T00:00:00.0030000Z,2022-07-15T23:59:59.9990000Z,20588.84,21200.0,20382.29,20830.04,143275.82369999998,4409510,BINANCE_SPOT_BTC_USDT
2022-07-16,2022-07-17T00:00:00.0000000Z,2022-07-16T00:00:00.0000000Z,2022-07-16T23:59:59.9980000Z,20830.04,21588.94,20478.61,21195.6,121011.67392999999,3723401,BINANCE_SPOT_BTC_USDT
2022-07-17,2022-07-18T00:00:00.0000000Z,2022-07-17T00:00:00.0020000Z,2022-07-17T23:59:59.9990000Z,21195.6,21684.54,20750.01,20798.16,118229.4525,4261057,BINANCE_SPOT_BTC_USDT
2022-07-18,2022-07-19T00:00:00.0000000Z,2022-07-18T00:00:00.0020000Z,2022-07-18T23:59:59.9990000Z,20799.58,22777.63,20762.45,22432.58,239942.73131999996,6564387,BINANCE_SPOT_BTC_USDT
2022-07-19,2022-07-20T00:00:00.0000000Z,2022-07-19T00:00:00.0000000Z,2022-07-19T23:59:59.9980000Z,22432.58,23800.0,21579.54,23396.62,263682.07564,6486142,BINANCE_SPOT_BTC_USDT
2022-07-20,2022-07-21T00:00:00.0000000Z,2022-07-20T00:00:00.0000000Z,2022-07-20T23:59:59.9990000Z,23398.48,24276.74,22906.19,23223.3,238716.79976999998,6362865,BINANCE_SPOT_BTC_USDT
2022-07-21,2022-07-22T00:00:00.0000000Z,2022-07-21T00:00:00.0000000Z,2022-07-21T23:59:59.9990000Z,23223.3,23442.77,22341.46,23152.19,184817.68190999998,4808194,BINANCE_SPOT_BTC_USDT
